timestamp,tower_id,fault_type,severity
2025-01-12 22:00:00,TWR001,Hardware Fault,High
2025-01-15 09:00:00,TWR002,Power Failure,Low
2025-01-20 03:00:00,TWR002,Power Failure,Medium
2025-01-02 14:00:00,TWR003,Power Failure,Medium
2025-01-05 14:00:00,TWR002,Signal Drop,Medium
2025-01-08 11:00:00,TWR003,Hardware Fault,Medium
2025-01-03 05:00:00,TWR001,Hardware Fault,Medium
2025-01-20 20:00:00,TWR001,Hardware Fault,Low
2025-01-12 09:00:00,TWR001,Power Failure,Low
2025-01-04 13:00:00,TWR003,Hardware Fault,Medium
2025-01-11 23:00:00,TWR001,Signal Drop,Medium
2025-01-06 10:00:00,TWR002,Hardware Fault,Low
2025-01-21 10:00:00,TWR002,Power Failure,Medium
2025-01-02 05:00:00,TWR002,Signal Drop,High
2025-01-06 05:00:00,TWR002,Hardware Fault,High
2025-01-12 22:00:00,TWR001,Power Failure,High
2025-01-10 06:00:00,TWR003,Signal Drop,Low
2025-01-15 03:00:00,TWR002,Hardware Fault,Medium
2025-01-15 10:00:00,TWR003,Power Failure,High
2025-01-03 02:00:00,TWR002,Hardware Fault,Low
